ISIN,StockID,Company,ShortName,BSE Code,NSE Code,Year High,Year Low,Close Price,Market Cap,LTP,Open,High,Low,Day Change,% Change,Volume
INE298A01020,GSTK500480,Cummins India,Cummins India,500480,CUMMINSIND
INE200M01039,GSTK540180,Varun Beverages,Varun Beverages,540180,VBL
INE07Y701011,GSTK543187,Hitachi Energy India,Hitachi Energy,543187,POWERINDIA
INE257A01026,GSTK500103,Bharat Heavy Electricals,BHEL,500103,BHEL
INE669E01016,GSTK532822,Vodafone Idea,Vodafone Idea,532822,IDEA
INE134E01011,GSTK532810,Power Finance Corporation,Power Finance Corp,532810,PFC
INE029A01011,GSTK500547,Bharat Petroleum Corporation,BPCL,500547,BPCL
INE455K01017,GSTK542652,Polycab India,Polycab India,542652,POLYCAB
INE067A01029,GSTK500093,CG Power & Industrial Solutions,CG Power & Inds,500093,CGPOWER
INE003A01024,GSTK500550,Siemens,Siemens,500550,SIEMENS
INE692A01016,GSTK532477,Union Bank of India,Union Bank of India,532477,UNIONBANK
INE216A01030,GSTK500825,Britannia Industries,Britannia Industries,500825,BRITANNIA
INE160A01022,GSTK532461,Punjab National Bank,PNB,532461,PNB
INE214T01019,GSTK540005,LTM,LTM,540005,LTM
INE437A01024,GSTK508869,Apollo Hospitals Enterprise,Apollo Hospitals,508869,APOLLOHOSP
INE118A01012,GSTK500490,Bajaj Holdings & Investment,Bajaj Hold & Invest,500490,BAJAJHLDNG
INE028A01039,GSTK532134,Bank of Baroda,Bank of Baroda,532134,BANKBARODA
INE414G01012,GSTK533398,Muthoot Finance,Muthoot Finance,533398,MUTHOOTFIN
INE155A01022,GSTK500570,Tata Motors Passenger Vehicles,Tata Motors Passenger,500570,TMPV
INE670K01029,GSTK543287,Lodha Developers,Lodha Developers,543287,LODHA
INE0HOQ01053,GSTK544603,Groww (Billionbrains Garage Ventures),Groww,544603,GROWW
INE245A01021,GSTK500400,Tata Power Company,Tata Power,500400,TATAPOWER
INE323A01026,GSTK500530,Bosch,Bosch,500530,BOSCHLTD
INE129A01019,GSTK532155,GAIL (India),GAIL (India),532155,GAIL
INE795G01014,GSTK540777,HDFC Life Insurance Company,HDFC Life Insurance,540777,HDFCLIFE
INE059A01026,GSTK500087,Cipla,Cipla,500087,CIPLA
INE053F01010,GSTK543257,Indian Railway Finance Corp,IRFC,543257,IRFC
INE1NPP01017,GSTK544390,Siemens Energy India,Siemens Energy India,544390,ENRIN
INE281B01032,GSTK512455,Lloyds Metals & Energy,Lloyds Metals,512455,LLOYDSME
INE476A01022,GSTK532483,Canara Bank,Canara Bank,532483,CANBK
INE196A01026,GSTK531642,Marico,Marico,531642,MARICO
INE562A01011,GSTK532814,Indian Bank,Indian Bank,532814,INDIANB
INE749A01030,GSTK532286,Jindal Steel,Jindal Steel,532286,JINDALSTEL
INE010B01027,GSTK532321,Zydus Lifesciences,Zydus,532321,ZYDUSLIFE
INE127D01025,GSTK541729,HDFC Asset Management Company,HDFC Asset Mgmt Co,541729,HDFCAMC
INE776C01039,GSTK532754,GMR Airports,GMR Airports,532754,GMRAIRPORT
INE674K01013,GSTK540691,Aditya Birla Capital,Aditya Birla Cap,540691,ABCAPITAL
INE200A01026,GSTK522275,GE Vernova T&D India,GE Vernova T&D India,522275,GVT&D
INE326A01037,GSTK500257,Lupin,Lupin,500257,LUPIN
INE854D01024,GSTK532432,United Spirits,United Spirits,532432,UNITDSPR
INE102D01028,GSTK532424,Godrej Consumer Products,Godrej Consumer,532424,GODREJCP
INE158A01026,GSTK500182,Hero MotoCorp,Hero MotoCorp,500182,HEROMOTOCO
INE079A01024,GSTK500425,Ambuja Cements,Ambuja Cement,500425,AMBUJACEM
INE192A01025,GSTK500800,Tata Consumer Products,Tata Consumer Produc,500800,TATACONSUM
INE027H01010,GSTK543220,Max Healthcare Institute,Max Healthcare,543220,MAXHEALTH
INE465A01025,GSTK500493,Bharat Forge,Bharat Forge,500493,BHARATFORG
INE053A01029,GSTK500850,The Indian Hotels Company,Indian Hotel,500850,INDHOTEL
INE205A01025,GSTK500295,Vedanta,Vedanta,500295,VEDL
